tweet_id	query
t734975346013929472	pattern24_entities_like_group
t739834620527693824	pattern24_entities_like_group
t731167536499298305	pattern24_entities_like_group
t743143252572966916	pattern24_entities_like_group
t743446181074833408	pattern24_entities_like_group
t743719589540835328	pattern24_entities_like_group
t736902589149806592	pattern24_entities_like_group
t737618244752658433	pattern24_entities_like_group
t741029089910370305	pattern24_entities_like_group
t730531345970167809	pattern24_entities_like_group
t745445326346063874	pattern24_entities_like_group
t745770567958028288	pattern24_entities_like_group
t742658205092859904	pattern24_entities_like_group
t734406262184611840	pattern24_entities_like_group
t743472319926935552	pattern24_entities_like_group
t741158374138580992	pattern24_entities_like_group
t744515780507803648	pattern24_entities_like_group
t743164683306307584	pattern24_entities_like_group
t743027517217505281	pattern24_entities_like_group
t733584960116789248	pattern24_entities_like_group
t735900341980516353	pattern24_entities_like_group
t739600116651335681	pattern24_entities_like_group
t732495715578961921	pattern24_entities_like_group
t744591237131337728	pattern24_entities_like_group
t735940040384229376	pattern24_entities_like_group
t731026824877252609	pattern24_entities_like_group
t742266194263150592	pattern24_entities_like_group
t742403697330802692	pattern24_entities_like_group
t745218487535210496	pattern24_entities_like_group
t730882938066341888	pattern24_entities_like_group
t746082531645104128	pattern24_entities_like_group
t738808998258937856	pattern24_entities_like_group
t740281250951352320	pattern24_entities_like_group
t745937929449639936	pattern24_entities_like_group
t734306152729567232	pattern24_entities_like_group
t740163826566496256	pattern24_entities_like_group
t733898837589364736	pattern24_entities_like_group
t735961542965989376	pattern24_entities_like_group
t746086492523499520	pattern24_entities_like_group
t741617780114481152	pattern24_entities_like_group
t744833976594993152	pattern24_entities_like_group
t743488341899878401	pattern24_entities_like_group
t741631356434841600	pattern24_entities_like_group
t745927946804789248	pattern24_entities_like_group
t731417467235520513	pattern24_entities_like_group
t745335159319212032	pattern24_entities_like_group
t735043361426575360	pattern24_entities_like_group
t730639065851236352	pattern24_entities_like_group
t736202380149202945	pattern24_entities_like_group
t740862257790341120	pattern24_entities_like_group
t745893466752884736	pattern24_entities_like_group
t742102202232274944	pattern24_entities_like_group
t745762165802471425	pattern24_entities_like_group
t734171773470547968	pattern24_entities_like_group
t735520670046642176	pattern24_entities_like_group
t743080720185364480	pattern24_entities_like_group
t745231685663473664	pattern24_entities_like_group
t745591360292478976	pattern24_entities_like_group
t730845670123417603	pattern24_entities_like_group
t745588392994443265	pattern24_entities_like_group
t745878293983952896	pattern24_entities_like_group
t742713091142647809	pattern24_entities_like_group
t740927483718029312	pattern24_entities_like_group
t742495240624427014	pattern24_entities_like_group
t744614318222770176	pattern24_entities_like_group
t741923804327358464	pattern24_entities_like_group
t734300982503460865	pattern24_entities_like_group
t729392310379790338	pattern24_entities_like_group
t743975530047774724	pattern24_entities_like_group
t745498629960404993	pattern24_entities_like_group
t739777411471007745	pattern24_entities_like_group
t732289936997666816	pattern24_entities_like_group
t742400354042576896	pattern24_entities_like_group
t745569394152083456	pattern24_entities_like_group
t736157162435694592	pattern24_entities_like_group
t744089497873358849	pattern24_entities_like_group
t730645573930516480	pattern24_entities_like_group
t722771672235794432	pattern24_entities_like_group
t731467885403623424	pattern24_entities_like_group
t746066863742812161	pattern24_entities_like_group
t740448844031332352	pattern24_entities_like_group
t744619050815393792	pattern24_entities_like_group
t745304861420425218	pattern24_entities_like_group
t742618779922890752	pattern24_entities_like_group
t738678623096459264	pattern24_entities_like_group
t738832820186034176	pattern24_entities_like_group
t733333138055647232	pattern24_entities_like_group
t739871196280414208	pattern24_entities_like_group
t744792260441563136	pattern24_entities_like_group
t743457368814542848	pattern24_entities_like_group
t741161557225287681	pattern24_entities_like_group
t738422698292973568	pattern24_entities_like_group
t739378452340609024	pattern24_entities_like_group
t735783754422050816	pattern24_entities_like_group
t743454372558954496	pattern24_entities_like_group
t745908255105355776	pattern24_entities_like_group
t742504714462334977	pattern24_entities_like_group
t742475785227907072	pattern24_entities_like_group
t729770306173325312	pattern24_entities_like_group
t744176670811242496	pattern24_entities_like_group
t734349471300128768	pattern24_entities_like_group
t734810311962857472	pattern24_entities_like_group
t743260546997305349	pattern24_entities_like_group
t737543232347766785	pattern24_entities_like_group
t743545193350180864	pattern24_entities_like_group
t742803785463017473	pattern24_entities_like_group
t742622443131547648	pattern24_entities_like_group
t730672853042012160	pattern24_entities_like_group
t745934145931608065	pattern24_entities_like_group
t742670697953132544	pattern24_entities_like_group
t734014588010795008	pattern24_entities_like_group
t736114380648161280	pattern24_entities_like_group
t744602423717675008	pattern24_entities_like_group
t744461984834392064	pattern24_entities_like_group
t746122925137403904	pattern24_entities_like_group
t735914803076730880	pattern24_entities_like_group
t743424476587655168	pattern24_entities_like_group
t743037462264619009	pattern24_entities_like_group
t733010260940730368	pattern24_entities_like_group
t745778336220090368	pattern24_entities_like_group
t735460804829581313	pattern24_entities_like_group
t731679727157551105	pattern24_entities_like_group
t745700015025324033	pattern24_entities_like_group
t745435106114932736	pattern24_entities_like_group
t729548252031389696	pattern24_entities_like_group
t744480247698104320	pattern24_entities_like_group
t745545118791307268	pattern24_entities_like_group
t735061825096683521	pattern24_entities_like_group
t737055205217476608	pattern24_entities_like_group
t739001683196448769	pattern24_entities_like_group
t731456704135725056	pattern24_entities_like_group
t735353810156150784	pattern24_entities_like_group
t741753011618361344	pattern24_entities_like_group
t731550318874529792	pattern24_entities_like_group
t745795325131120640	pattern24_entities_like_group
t745742706144514048	pattern24_entities_like_group
t742288714827698176	pattern24_entities_like_group
t742702524361285632	pattern24_entities_like_group
t741258492024086528	pattern24_entities_like_group
t745671064936660992	pattern24_entities_like_group
t741221967970340864	pattern24_entities_like_group
t744219761458937856	pattern24_entities_like_group
t730686712708390913	pattern24_entities_like_group
t742783935789158401	pattern24_entities_like_group
t729225579443175424	pattern24_entities_like_group
t734488703624699905	pattern24_entities_like_group
t741038365680803840	pattern24_entities_like_group
t734464236622118913	pattern24_entities_like_group
t746066997201543168	pattern24_entities_like_group
t739574463533088768	pattern24_entities_like_group
t744477159616581632	pattern24_entities_like_group
t736325060122841089	pattern24_entities_like_group
t744553408049324032	pattern24_entities_like_group
t738835908531761152	pattern24_entities_like_group
t746093061332045825	pattern24_entities_like_group
t729241910494306305	pattern24_entities_like_group
t729917945250484224	pattern24_entities_like_group
t729187252455153664	pattern24_entities_like_group
t731457064258654208	pattern24_entities_like_group
t745410564336324613	pattern24_entities_like_group
t745354787705724929	pattern24_entities_like_group
t744036755398139905	pattern24_entities_like_group
t729745447678554112	pattern24_entities_like_group
t739133937079975936	pattern24_entities_like_group
t740946109279948800	pattern24_entities_like_group
t732007837455503360	pattern24_entities_like_group
t743421065330827264	pattern24_entities_like_group
t650095302435840000	pattern24_entities_like_group
t742849764031504384	pattern24_entities_like_group
t739752354443087872	pattern24_entities_like_group
t729480493272440832	pattern24_entities_like_group
t745357632647598080	pattern24_entities_like_group
t732283552012881920	pattern24_entities_like_group
t735233815824719878	pattern24_entities_like_group
t731504706569261056	pattern24_entities_like_group
t735894180673822720	pattern24_entities_like_group
t745894377017479168	pattern24_entities_like_group
t744518058740490240	pattern24_entities_like_group
t741370507119988736	pattern24_entities_like_group
t745941416665354241	pattern24_entities_like_group
t736845576000688128	pattern24_entities_like_group
t730041662941089792	pattern24_entities_like_group
t743449170883809280	pattern24_entities_like_group
t729219940562051073	pattern24_entities_like_group
t745515555700936704	pattern24_entities_like_group
t735464008451526657	pattern24_entities_like_group
t739230045034647553	pattern24_entities_like_group
t744530636124323840	pattern24_entities_like_group
t741051497639727109	pattern24_entities_like_group
t739467846661574656	pattern24_entities_like_group
t731566351622541312	pattern24_entities_like_group
t745152919989694465	pattern24_entities_like_group
